"","Trajectory","trends","ci"
"Run4_120703409056541",0.123600619556506,-0.297245893950442,0.0756224629332471
"Run4_120703436876077",0.352927986100357,-0.230285528740805,0.0939768134249216
"Run4_120703455025387",0.628207596084087,-0.0874241999810554,0.0950254628053669
"Run4_120726924978030",0.622647647865772,-0.0902513430453195,0.0932041384201333
"Run4_120772961130853",0.437417121061896,-0.201111553575715,0.0932637489282941
"Run4_120786758780660",0.530385104695915,-0.150154019651056,0.0789455497771804
"Run4_120786786086116",0.388979113782736,-0.219222925187626,0.0917073242647098
"Run4_120786804401973",0.630941047470666,-0.0859756644063425,0.095985552989561
"Run4_120797925428019",0.543287385044258,-0.141544784948325,0.078400159964311
"Run4_120797944462237",0.465287910691168,-0.187144653069721,0.0896773622748211
"Run4_120797945084765",0.33102622203907,-0.237345518530775,0.096649772426392
"Run4_120864498109163",1.41483275566541,-0.119307958351897,0.119220493474159
"Run4_121202296407845",1.43523323983771,-0.136977745794475,0.113756172969084
"Run4_121202296875939",0.127568314410547,-0.297336653954117,0.07532263653386
"Run4_121276814544302",0.562101565332093,-0.127837496974196,0.0793300219464133
"Run4_121276814768869",0.423248770271276,-0.207134999770008,0.0932116859870625
"Run4_121319782803691",0.571146493433688,-0.120690367315436,0.0805994615454468
"Run4_121338017995180",0.259841051559629,-0.267928977267957,0.0929240804720787
"Run4_121339869579045",0.0624679340654331,-0.286878554809376,0.103755988080851
"Run4_121339870034742",1.45289341938186,-0.153094748287608,0.109596353724203
"Run4_121339884197670",0.29829516334528,-0.250005815727835,0.0970806998311953
"Run4_121339897375467",0.544233014202716,-0.140890094571671,0.0783956760341074
"Run4_121742672218843",0.545865172156837,-0.139752035040457,0.078400045598347
"Run4_121742684731182",0.538972290581086,-0.144489838462108,0.0784843219819712
"Run4_121812477659372",0.627550119110248,-0.0877661097476811,0.0948012641470386
"Run4_121826140407589",0.411603379677677,-0.211568686147185,0.0926427197519145
"Run4_121826154859894",0.110604107801947,-0.296528808244391,0.0777301173224703
"Run4_121826168138163",0.473098054206012,-0.183059600403279,0.0882095428281784
"Run4_121826187070251",0.53995077684498,-0.143828027729536,0.0784562256465014
"Run4_121879156964651",0.104833373921571,-0.295984636254655,0.0792753587265852
"Run4_121955406802230",0.419747861393651,-0.208511911407676,0.0930689122472265
"Run4_121955407285596",0.109057734427519,-0.296397360101463,0.0781054808676405
"Run4_121955419114358",0.461246492733218,-0.189243389766131,0.0903981482382885
"Run4_121955419114862",0.583044977504808,-0.111574726747234,0.0830172319810263
"Run4_122282776423132",0.349572074465842,-0.231326209535856,0.0943958988559578
"Run4_122282795515302",0.34889867198726,-0.231536342012996,0.0944814901526134
"Run4_122282795519324",0.632165959921089,-0.085310879124374,0.0964312258876794
"Run4_122282795812787",0.454727066046175,-0.192615923914845,0.0914842068872847
"Run4_122282795818213",1.35850578188536,-0.0757000963978963,0.135589255564289
"Run4_122293352294813",0.631281977460033,-0.0857916714125758,0.0961086039417646
"Run4_122293366708085",0.362544784322553,-0.227346480588537,0.0929017108887545
"Run4_122293367462116",0.589199454901686,-0.107579728592005,0.0844234179814149
"Run4_122308412463406",1.55590141883702,-0.262557262973349,0.112690229076821
"Run4_122308430620398",0.496351623518454,-0.170495479592285,0.083697892023491
"Run4_122310424910766",0.642469392200167,-0.0793121861027984,0.100571845724777
"Run4_122310444373789",0.0254478688311395,-0.272079667600978,0.143694147912812
"Run4_122428823883116",0.489532746820595,-0.174260675875946,0.0849944089393836
"Run4_122428824140061",0.182396596221336,-0.294279586937608,0.0814804553676018
"Run4_122436428412653",0.17294812293941,-0.295220012807273,0.0795847582787645
"Run4_122436443094253",0.141590555095527,-0.297239198485065,0.0753446978274762
"Run4_122436456212725",0.642447866660306,-0.079324998815276,0.10056273354392
"Run4_122436475018661",0.639839139561838,-0.0808822757743802,0.0994649995575688
"Run4_122514677619036",0.490595837403872,-0.17367881662904,0.0847889089639435
"Run4_122514692500702",0.170753977895544,-0.295420342161622,0.0791690486888717
"Run4_125042399558901",0.640635318409884,-0.0804060567992847,0.0997986001606077
"Run4_125042400315742",0.610310722543318,-0.0962625193096332,0.0896486215879968
"Run4_125042426763101",0.0706614357745466,-0.289363565667707,0.0971631664485866
"Run4_125197046434094",0.164812418887327,-0.29592713228924,0.07810804568713
"Run4_125239746509676",0.184446714919809,-0.294024063276445,0.0818924923440239
"Run4_125247364709155",0.342166944274183,-0.233666326412583,0.0953443146412645
"Run4_125247377566965",1.54266265579715,-0.247035173386211,0.108485566854401
"Run4_125677920545627",0.0634605475730182,-0.287196638789747,0.10291072379952
"Run4_125677920769780",1.46161080827392,-0.161333733814218,0.107827113326789
"Run4_125677920967478",1.4821999537398,-0.181543246568918,0.104673865166835
"Run4_125677920970611",0.443543005809563,-0.198253761373912,0.0929039396015124
"Run4_125677921266413",0.075744517325522,-0.290738945190063,0.0935191461088496
"Run4_125677966585070",0.352592771284485,-0.23038902934522,0.0940179822490899
"Run4_125677967206756",0.524384267314764,-0.153968238546301,0.0794797759691617
"Run4_125719945276334",0.419540762895299,-0.208592116897951,0.0930594430699953
"Run4_125728252905323",0.284839981537623,-0.25610544744514,0.0959184727841685
"Run4_125728266829044",0.263234840246162,-0.266326470694746,0.0933593819168246
"Run4_125745325263726",1.56784708362535,-0.276906678183358,0.117576121890513
"Run4_125745343944941",1.57705506133041,-0.288184421566747,0.122021908977051
"Run4_126132128005486",0.547288260433994,-0.138751303160201,0.0784165433913097
"Run4_126132128500452",0.285793148753055,-0.255662445890804,0.096015896976139
"Run4_126132128800156",1.59554417567637,-0.31138320670979,0.132609507926943
"Run4_126218818148142",1.54097385726019,-0.245084435172155,0.108042103571346
"Run4_126218832627933",0.162709552759197,-0.296092633916335,0.077758748586705
"Run4_126218845501230",0.335726813735036,-0.235765747489739,0.0961344875508662
"Run4_126218845961141",0.277995684983066,-0.259318403611584,0.0951692659131258
"Run4_126218845964661",0.215050038841622,-0.286654432252981,0.0870309697772155
"Run4_126227542817590",0.145773608458512,-0.297097288784547,0.0756307251047638
"Run4_126227557039341",0.439836296526031,-0.200002747741254,0.0931549270045561
"Run4_126227557275374",1.5523023874621,-0.258297449997513,0.111419749838208
"Run4_126227569392476",1.55680898427096,-0.263636131175824,0.113025502935038
"Run4_126227569621427",0.594106985657009,-0.104678899248474,0.0855814731718201
"Run4_126227588246750",0.514821038100996,-0.15982657119844,0.0806424850847908
"Run4_126293980661533",0.50170552283987,-0.16747939114646,0.0827286927206142
"Run4_126293995272043",1.59568248115134,-0.311559469355495,0.1326965440193
"Run4_126294026566566",0.430269463090684,-0.204245936386907,0.0933652722892279
"Run4_126364042279838",1.5016727050647,-0.201636069779373,0.103435061222637
"Run4_126364087696755",1.57449058993128,-0.285024795661312,0.120726047092971
"Run4_126364087905005",0.478002970718629,-0.180467285702206,0.0872552296731821
"Run4_126364087905510",0.590797685932417,-0.106610057355643,0.0847974235373288
"Run4_126364088155371",0.653242178173571,-0.072976102965526,0.105222036293769
