"","Trajectory","trends","ci"
"Run4_120703409056541",0.123602515478687,0.278901174128648,0.120242890599147
"Run4_120703424252854",0.89773835295458,0.276432781075068,0.138846642238463
"Run4_120703436876077",0.352871846121387,0.737663404985725,0.1362605576977
"Run4_120703455025387",0.642688434723303,1.00670913038515,0.105725605021267
"Run4_120726911638237",0.703681467309319,0.916684541920895,0.105778887896165
"Run4_120726924974443",0.828817035330153,0.530759902601241,0.123708718447025
"Run4_120726924978030",0.634124133253699,1.01011449612598,0.106784633673058
"Run4_120772961130853",0.437999477158392,0.777702278380563,0.146549292724372
"Run4_120786758780660",0.531669048873913,0.952517664937236,0.122190833789212
"Run4_120786786086116",0.388919723742958,0.749555723279858,0.140781407525243
"Run4_120786804205803",0.709626060877145,0.902802564317425,0.106148739390793
"Run4_120786804401973",0.643864863723078,1.00611238491711,0.105616697963224
"Run4_120797898099934",0.861337893125553,0.411696248710098,0.131130771240891
"Run4_120797925428019",0.544968244953476,0.976467826437051,0.120257712257241
"Run4_120797944462237",0.465692682325997,0.815513050233571,0.142163873802469
"Run4_120797945084765",0.329858796591952,0.72752188586465,0.135703932533328
"Run4_120864497952619",1.35158311283985,-1.18645916897804,0.192852518802759
"Run4_121202296712412",1.5227601085118,-1.58538765315441,0.211166977048862
"Run4_121202296875939",0.127570177296745,0.29293621745578,0.119020523194166
"Run4_121202324139420",1.17204146694037,-0.667922268676618,0.178584295465507
"Run4_121276814544302",0.56398895036154,1.00232937115757,0.118605921342548
"Run4_121276814768869",0.422062573509229,0.765450413939514,0.145723613761321
"Run4_121319782803691",0.573008124532711,1.01005777886881,0.11791674749525
"Run4_121338017995180",0.258813203054005,0.645593208693271,0.134248231007534
"Run4_121339869579045",0.0624683364690925,0.0298023848929009,0.166067627296932
"Run4_121339884197670",0.298033003331404,0.703274513391315,0.136701256689523
"Run4_121339897375467",0.539844579310076,0.967707926098228,0.120898927045606
"Run4_121339915976030",0.705368332438406,0.912804350624713,0.105873824371088
"Run4_121742672218843",0.546922703598724,0.979633226936716,0.12004255769019
"Run4_121742684731182",0.540310465780219,0.968530591490266,0.120835639834319
"Run4_121812464876332",0.687452748178417,0.951604848887416,0.105251521682683
"Run4_121812477504803",0.714429647881478,0.891162283410082,0.106515698307176
"Run4_121812477659372",0.640296218038871,1.00782096544703,0.105974270797038
"Run4_121812496309539",1.42632733378325,-1.37319022078049,0.199080884322987
"Run4_121812496627629",0.739884063453715,0.823272004529989,0.10891889548706
"Run4_121826140407589",0.411225057877396,0.759112095489059,0.144390870364527
"Run4_121826154859894",0.110604567484349,0.231112879333589,0.125639109229997
"Run4_121826168138163",0.474155904245279,0.831212796897677,0.139568133056791
"Run4_121826187070251",0.540652045209783,0.96913055516235,0.120789899982532
"Run4_121879156964651",0.104834184418437,0.208976007876771,0.128757915482258
"Run4_121896068373812",0.772181537063289,0.724986799989049,0.112867432000757
"Run4_121896095603508",0.73201977556531,0.845346349595966,0.108175232882876
"Run4_121896114436398",1.45092610618548,-1.43049659566539,0.201595870943623
"Run4_121955406802230",0.420435531200212,0.764407425337031,0.145555433594552
"Run4_121955407285596",0.109058217098754,0.225237117747768,0.126429937362452
"Run4_121955419114358",0.46158815094623,0.808471772366744,0.143267900392269
"Run4_121955419114862",0.584988430455155,1.01477051337196,0.116689678941748
"Run4_121965753884006",0.923408332499909,0.181832269221067,0.143281621858035
"Run4_122282776423132",0.345280517041437,0.734761405266912,0.135869891963919
"Run4_122282795515302",0.3490178182537,0.736232557284866,0.136034832226474
"Run4_122282795519324",0.649218986144892,1.00294748054614,0.105229208259359
"Run4_122282795812787",0.456481549776472,0.800319861963797,0.144460205084556
"Run4_122293352294813",0.650482067395834,1.00208667226081,0.105162554465486
"Run4_122293366708085",0.362562327003958,0.740973514521242,0.137078048036061
"Run4_122293367462116",0.590911360266804,1.01457298072042,0.115842431227046
"Run4_122293399013212",0.749090281634514,0.796423186335091,0.10986613213214
"Run4_122308384450908",0.920287035614461,0.193272216167292,0.142755638216683
"Run4_122308399066019",0.684850024902157,0.956795915474356,0.105219098225389
"Run4_122308430620398",0.485831723967382,0.854893319991361,0.135558097558614
"Run4_122310412323676",1.25373725439644,-0.9153114373797,0.185684946381946
"Run4_122310412626206",0.760139731490251,0.762931607420385,0.111188925352028
"Run4_122310424910766",0.66793510382001,0.984902977176017,0.104972183083327
"Run4_122310444373789",0.0254482539091705,-0.148141281200487,0.217991088849714
"Run4_122428793187699",0.674311686225656,0.975763483780059,0.105084521892977
"Run4_122428823883116",0.489935828858228,0.863611318695086,0.13410517211432
"Run4_122428824140061",0.182506223519402,0.463741602967277,0.117437031729276
"Run4_122428824599908",2.10861580034764,-2.00089251989969,0.561212568409427
"Run4_122436428412653",0.172979908721284,0.436988678507964,0.116171338534226
"Run4_122436443094253",0.141603205404006,0.340605024767201,0.116137646501168
"Run4_122436456212725",0.667835425858395,0.985032510943127,0.104970687242127
"Run4_122436475018661",0.662859550329717,0.991007534074147,0.104919946870902
"Run4_122514677619036",0.490665655163544,0.865177070873541,0.133847095526421
"Run4_122514692500702",0.170804280020577,0.430724506935712,0.115946903569618
"Run4_125042399558901",0.663193802912066,0.990635568313837,0.104921540291543
"Run4_125042400315742",0.617202510498696,1.01319822716976,0.110085628144995
"Run4_125042414278451",1.11094823500263,-0.471670719505608,0.171876162076738
"Run4_125042426763101",0.0706621443340087,0.0666244681538353,0.156892161447319
"Run4_125042445641635",0.945622264299659,0.100893452152764,0.147046194625683
"Run4_125197018315102",0.787920168901966,0.673364159700343,0.11542869969755
"Run4_125197033818014",0.914004399476824,0.216347954638974,0.141701440777097
"Run4_125197046212445",0.722982243874153,0.869508700020278,0.10728606867158
"Run4_125197046434094",0.164855250281611,0.413291691203453,0.115475144613281
"Run4_125239746509676",0.184526619145539,0.469278290836634,0.117757793687934
"Run4_125247364709155",0.341912456105342,0.733353560786034,0.135765575721294
"Run4_125677920545627",0.0634612535819226,0.034316743714078,0.164907852973052
"Run4_125677920970611",0.444182765482222,0.783932131192702,0.146294900460524
"Run4_125677921254187",0.691487971239609,0.943331949108806,0.105324439976866
"Run4_125677921266413",0.0757450419102618,0.088964207713185,0.151660592267056
"Run4_125677947799403",0.721120374088928,0.87432341701454,0.107108691853057
"Run4_125677966585070",0.352809387970817,0.737640836797911,0.136256445352219
"Run4_125677967206756",0.525436706012043,0.940117952028126,0.123423855486878
"Run4_125719945276334",0.419060617950125,0.763552653830543,0.145403535763923
"Run4_125719976725363",0.658967347235159,0.995042455371741,0.104927260392369
"Run4_125719977541037",1.40980352783419,-1.33351895793551,0.19754996674081
"Run4_125719977548197",1.28298876843334,-0.9993757249498,0.187880003161847
"Run4_125728252684085",0.938040041970471,0.128424688632942,0.145759330571679
"Run4_125728252905323",0.285161990397748,0.688392526276694,0.136765333423226
"Run4_125728266829044",0.263538984725073,0.654643482850692,0.135047592622671
"Run4_125728267327389",0.729750321333213,0.851536893043521,0.107951669669391
"Run4_125745298291501",0.706912378279814,0.909211638905923,0.105967748861411
"Run4_125745344199091",0.732943875212533,0.842802074895859,0.108265364161581
"Run4_126132128005486",0.548978168313574,0.982849487007764,0.119831716717431
"Run4_126132128200630",0.798367075914249,0.637979208047402,0.117344341592848
"Run4_126132128500452",0.286083653022005,0.689576479442758,0.136780960020781
"Run4_126132141381982",0.722454610290904,0.870878817429763,0.107235400257302
"Run4_126149051926902",0.711724809300171,0.897763122317433,0.106302080734925
"Run4_126149071067430",0.728238795862886,0.855614301119854,0.107801910956833
"Run4_126149071162742",0.690437812000112,0.945511203524719,0.105302422093163
"Run4_126218832627933",0.1627262764562,0.406942524865154,0.115360956935023
"Run4_126218845501230",0.332696087778313,0.729020600525814,0.135678659322207
"Run4_126218845961141",0.278107293353231,0.678676674826759,0.136510763764679
"Run4_126218845964661",0.215279765907496,0.548181652419412,0.124096641367573
"Run4_126227542817590",0.145790804961814,0.354256603101264,0.115674576987603
"Run4_126227542919516",0.747331422041562,0.801629260468902,0.109674466396006
"Run4_126227557039341",0.440286648672187,0.779836402911185,0.146512619676142
"Run4_126227557243316",0.973555193604072,0.000350630217050035,0.151754501495153
"Run4_126227569366820",0.704386716214239,0.915068002079723,0.105817599046452
"Run4_126227569621427",0.598160553630051,1.0140870468971,0.114479920679933
"Run4_126227588246750",0.513936231029663,0.915921612262085,0.12627908314219
"Run4_126227588791004",1.07729869646495,-0.359797090685,0.167572032705969
"Run4_126227588802285",0.706921946055294,0.909189254315171,0.105968351611094
"Run4_126293980661533",0.501711342126963,0.889229865285627,0.13003826617501
"Run4_126294026566566",0.430578895061766,0.771509839112758,0.146369172983325
"Run4_126364087900021",1.55433267046048,-1.64734850585738,0.216753956122967
"Run4_126364087905005",0.477379020390812,0.837548585259561,0.138495468321784
"Run4_126364087905510",0.594573697692006,1.0142860580328,0.11519563162601
"Run4_126364088155371",0.715287864774817,0.889042996531837,0.106586971255376
"Run4_126680929789814",0.709419649027066,0.903294301264865,0.106134275633501
"Run4_126680944201140",0.730651062265493,0.849089726417467,0.108040684366209
