"","Trajectory","trends","ci"
"Run4_120703409056541",0.123600619556506,-0.671299065557368,0.0385609995703936
"Run4_120703436876077",0.352927986100357,-0.618833569614965,0.0479201512559062
"Run4_120703455025387",0.628207596084087,-0.35333140379742,0.0484548729079177
"Run4_120726924978030",0.622647647865772,-0.358162486929797,0.0475261529732266
"Run4_120772961130853",0.437417121061896,-0.595289030655706,0.0475565492429383
"Run4_120786758780660",0.530385104695915,-0.480459511315029,0.0402554901409322
"Run4_120786786086116",0.388979113782736,-0.614959730340758,0.0467629055495717
"Run4_120786804401973",0.630941047470666,-0.350835114808365,0.0489444369308844
"Run4_120797925428019",0.543287385044258,-0.460281513858063,0.0399773879008833
"Run4_120797944462237",0.465287910691168,-0.568386632508782,0.0457277982496533
"Run4_120797945084765",0.33102622203907,-0.622006390943707,0.0492831321336695
"Run4_120864498109163",1.41483275566541,-0.575464500699939,0.0607922728157796
"Run4_121202296407845",1.43523323983771,-0.589650434426693,0.0580059358931822
"Run4_121202296875939",0.127568314410547,-0.670858788424729,0.0384081137054071
"Run4_121276814544302",0.562101565332093,-0.429798508347117,0.0404515381216189
"Run4_121276814768869",0.423248770271276,-0.604100649508625,0.0475300015879613
"Run4_121319782803691",0.571146493433688,-0.414798101006444,0.0410988439343928
"Run4_121338017995180",0.259841051559629,-0.644605232568504,0.0473833473306208
"Run4_121339869579045",0.0624679340654331,-0.675582955130801,0.0529066954000578
"Run4_121339870034742",1.45289341938186,-0.60139968929934,0.0558847832370411
"Run4_121339884197670",0.29829516334528,-0.632531360821465,0.049502868318223
"Run4_121339897375467",0.544233014202716,-0.458777072782051,0.0399751014793103
"Run4_121742672218843",0.545865172156837,-0.456172835652264,0.039977329584006
"Run4_121742684731182",0.538972290581086,-0.467104194046948,0.0400203033442708
"Run4_121812477659372",0.627550119110248,-0.353918194717177,0.048340550733895
"Run4_121826140407589",0.411603379677677,-0.60918277695062,0.0472398773854677
"Run4_121826154859894",0.110604107801947,-0.6725973366895,0.0396357233607192
"Run4_121826168138163",0.473098054206012,-0.559371210910649,0.0449793356519544
"Run4_121826187070251",0.53995077684498,-0.465563324465452,0.0400059766120016
"Run4_121879156964651",0.104833373921571,-0.673104161957056,0.0404236645465653
"Run4_121955406802230",0.419747861393651,-0.605813589808703,0.0474571991704397
"Run4_121955407285596",0.109057734427519,-0.672737309601488,0.0398271267208137
"Run4_121955419114358",0.461246492733218,-0.572854763248355,0.046095337551463
"Run4_121955419114862",0.583044977504808,-0.396531299198333,0.0423317004311455
"Run4_122282776423132",0.349572074465842,-0.619183180681046,0.0481338490448874
"Run4_122282795515302",0.34889867198726,-0.619257381665486,0.048177493298533
"Run4_122282795519324",0.632165959921089,-0.349683280350319,0.0491716920580818
"Run4_122282795812787",0.454727066046175,-0.579766890243503,0.0466491347364916
"Run4_122282795818213",1.35850578188536,-0.533526117012261,0.0691389439428832
"Run4_122293352294813",0.631281977460033,-0.350516734375186,0.0490071824106137
"Run4_122293366708085",0.362544784322553,-0.617950919612731,0.0473719407530049
"Run4_122293367462116",0.589199454901686,-0.388845921171001,0.0430487352334203
"Run4_122308412463406",1.55590141883702,-0.658838059437656,0.0574623955167212
"Run4_122308430620398",0.496351623518454,-0.52980957207058,0.0426787789391311
"Run4_122310424910766",0.642469392200167,-0.339140426778945,0.0512830546554681
"Run4_122310444373789",0.0254478688311395,-0.675960429134855,0.0732717470578169
"Run4_122428823883116",0.489532746820595,-0.538873252403421,0.0433398918716849
"Run4_122428824140061",0.182396596221336,-0.662573306550004,0.0415480755658411
"Run4_122436428412653",0.17294812293941,-0.664302305159817,0.0405814319021353
"Run4_122436443094253",0.141590555095527,-0.669134843683629,0.0384193630815932
"Run4_122436456212725",0.642447866660306,-0.339162847884538,0.0512784082212145
"Run4_122436475018661",0.639839139561838,-0.341900490078187,0.0507186576109565
"Run4_122514677619036",0.490595837403872,-0.537480696959753,0.0432351044294714
"Run4_122514692500702",0.170753977895544,-0.664685569455622,0.0403694555039133
"Run4_125042399558901",0.640635318409884,-0.341060676229317,0.0508887654362177
"Run4_125042400315742",0.610310722543318,-0.368420754462289,0.045713142953207
"Run4_125042426763101",0.0706614357745466,-0.675269151938425,0.049544919252224
"Run4_125197046434094",0.164812418887327,-0.665688852388965,0.0398284345597731
"Run4_125239746509676",0.184446714919809,-0.66218399550371,0.0417581792447549
