"","Trajectory","trends","ci"
"Run4_120703409056541",0.123601513945964,0.264844785529155,0.119195400090466
"Run4_120703409580963",1.48038177079072,-1.82713158488538,0.313116617082169
"Run4_120703423990708",1.44846805047978,-1.7596221416098,0.275230451533307
"Run4_120703424252854",0.760959963906195,0.669646742110265,0.102864347738773
"Run4_120703436876077",0.352758389605703,0.765313533568955,0.128408481758509
"Run4_120703455025387",0.643129464441557,0.965758899473369,0.100303670574513
"Run4_120726911638237",0.703149407358724,0.845490902464478,0.10053183573919
"Run4_120726912355038",0.850245590692146,0.312066383827678,0.114684723746547
"Run4_120726924974443",0.830560055524899,0.386176575676072,0.112777838151251
"Run4_120726924978030",0.635169114115837,0.974318855969208,0.100202527492591
"Run4_120726943295348",1.49940870587487,-1.86546175011479,0.337465737983305
"Run4_120726943845302",1.28226151584349,-1.3442076740612,0.14568512859491
"Run4_120772961130853",0.437858210480498,0.881926545109823,0.123620298413919
"Run4_120786758780660",0.531689371032188,0.948560395269561,0.119996105828763
"Run4_120786786086116",0.388760482186983,0.81948479147091,0.125645231714083
"Run4_120786804205803",0.703018260608022,0.845811142701219,0.100523791565883
"Run4_120786804401973",0.650774179487052,0.955038390893117,0.100306139304927
"Run4_120797898099934",0.852100618352933,0.305100646642215,0.114809589103645
"Run4_120797925428019",0.545084432782146,0.957220032975519,0.116016387256896
"Run4_120797944462237",0.465462780001769,0.909238446334587,0.124310251686853
"Run4_120797945084765",0.330165192644722,0.728890771790164,0.128597471603468
"Run4_121202296875939",0.127568461192407,0.277233532845002,0.117617264852314
"Run4_121202311609131",1.37631878558441,-1.59231169624258,0.204176593790147
"Run4_121202323408629",1.13112931553499,-0.87671200710226,0.125136149193325
"Run4_121202323971293",1.35294017751584,-1.53378337011964,0.185849494558838
"Run4_121276814544302",0.564109543865072,0.97013665153103,0.109767325165074
"Run4_121276814768869",0.422163619880144,0.863706144962686,0.12373884682659
"Run4_121319782803691",0.573103609704208,0.975699992569228,0.107036331608214
"Run4_121338017995180",0.259002845843068,0.602742038394298,0.118244802790419
"Run4_121339869292318",1.29448561756563,-1.37834196233448,0.150964411174
"Run4_121339869579045",0.0624682829353451,0.0534689332715036,0.162208334296821
"Run4_121339884197670",0.298062144437483,0.674868153269436,0.124887282925632
"Run4_121339897375467",0.538588849592093,0.952888779377874,0.11804353247136
"Run4_121339915976030",0.699480328841685,0.854394624102599,0.100312993682579
"Run4_121742672218843",0.546824273848166,0.958405835569826,0.11545263724753
"Run4_121742684731182",0.540435573932378,0.954100611090852,0.117482271682223
"Run4_121812464876332",0.684487166219123,0.889323178147094,0.0997243462078452
"Run4_121812477504803",0.707824113828104,0.833989030481592,0.100821149524609
"Run4_121812477659372",0.642777536223868,0.966191816959478,0.100300544669368
"Run4_121812496627629",0.736592523459418,0.755431509049719,0.101860821333956
"Run4_121826140407589",0.410825742466762,0.849469796981213,0.124152691127589
"Run4_121826154859894",0.11060366619202,0.22306405113362,0.125393591979984
"Run4_121826167679902",0.904163247523988,0.0938620826804163,0.11718285438288
"Run4_121826168138163",0.474251531485593,0.916527176158388,0.124569200539393
"Run4_121826168195803",1.45164668869027,-1.76652614704813,0.278834022159353
"Run4_121826187070251",0.540401143337813,0.954077853069106,0.117492859351678
"Run4_121879156964651",0.104834270916852,0.203947864149448,0.128658789980577
"Run4_121896068106075",0.944148420048304,-0.0830773324281397,0.118604709822095
"Run4_121896068373812",0.731167035996131,0.772200276393418,0.101735821415567
"Run4_121896095574750",1.22776353357588,-1.18526346691682,0.130120174658848
"Run4_121896095603508",0.7345944388149,0.761721369204224,0.10181423197966
"Run4_121955406802230",0.420449514871177,0.861609225122357,0.123783516229694
"Run4_121955407285596",0.109057735722164,0.217975729005366,0.1262372995946
"Run4_121955419114358",0.461416222080006,0.90564382745396,0.124178726686198
"Run4_121955419114862",0.58477970208948,0.98167242435162,0.104054734921458
"Run4_121965753884006",0.92940286881231,-0.0168335632243649,0.118047449277969
