"","Trajectory","trends","ci"
"Run4_120703408880541",1.18317615237852,2.51390140640653,0.102712080228545
"Run4_120703409056541",0.123554742930016,-0.441395036608802,0.090660933412214
"Run4_120703436053366",1.06992790931589,2.59402742959754,0.108318066820384
"Run4_120703436057910",0.822800144674008,2.19550373812554,0.139527667002585
"Run4_120703436876077",0.300987431595469,0.0356727266498047,0.142570784423153
"Run4_120772961168292",1.06440202656379,2.59315396112556,0.108535152238174
"Run4_120797898946870",1.55379904303796,1.55450505435828,0.111965891157184
"Run4_120797944278244",1.21514464946404,2.46218665162697,0.100859558659354
"Run4_120797944309486",1.18412705578413,2.51245931508755,0.102652403492595
"Run4_120797944538971",1.11532623110483,2.58482288627727,0.1065205424991
"Run4_120797945018284",1.75614981215463,0.727592222200797,0.184573350692156
"Run4_120797945084765",0.298501816200769,0.0250755568853062,0.141573057759176
"Run4_121202296155437",1.22236903011098,2.45005596815615,0.100471466993264
"Run4_121202296875939",0.127499605398734,-0.436313418093192,0.0899385741545162
"Run4_121338017995180",0.291702245145773,-0.00339109213518747,0.138813578028987
"Run4_121339869579045",0.0624292837625554,-0.490829684558607,0.121744597769354
"Run4_121339884197670",0.2906711402597,-0.00763737755704263,0.138391325789154
"Run4_121742671661982",1.8335533639602,0.354502231324879,0.229256916234015
"Run4_121812465170790",1.79371709297384,0.550442927234507,0.205140694023894
"Run4_121812478016931",1.2495732241518,2.40198484414015,0.0990739040177471
"Run4_121826154859894",0.110571934208169,-0.456566806945693,0.0941940268660179
"Run4_121879156964651",0.104828226138378,-0.46252400075915,0.0963192613733925
"Run4_121955407021878",1.1435739543717,2.56375599075927,0.105154200374204
"Run4_121955407285596",0.10902037833502,-0.458221500441953,0.0947344865736465
"Run4_121965741528803",1.7220867203307,0.881816827049697,0.167791543412476
"Run4_121965773241694",1.42779489073987,1.96253280811325,0.097547915939144
"Run4_122282776423132",0.331032049246183,0.170178655948793,0.154146794748455
"Run4_122282795515302",0.31812600266903,0.111137754072793,0.149285234297031
"Run4_122282795812787",0.404086238833325,0.511998890811482,0.178297899079362
"Run4_122293367564598",1.23954296771513,2.42038968256816,0.0995693173398989
"Run4_122310444373789",0.0254420074091336,-0.486562570466636,0.155532891370656
"Run4_122428793175326",1.23671121222316,2.42544139878719,0.0997137039732414
"Run4_122428824140061",0.179777082150612,-0.343881888765037,0.093930239198146
"Run4_122436428412653",0.171856761930048,-0.361356071447297,0.0919864918907567
"Run4_122436428609325",1.17818114992813,2.52133115234624,0.103029166604677
"Run4_122436443094253",0.141258793613976,-0.416854386717446,0.0886722988386603
"Run4_122514692500702",0.169540343434281,-0.366250462082172,0.0914897482477178
"Run4_125042414733164",1.30956546212956,2.27623404167625,0.0967821217234137
"Run4_125042426763101",0.0706135770336904,-0.488129483664668,0.115603440457331
