"","curve1","curve2","curve3","curve4"
"227",0.831279977470944,0.890274531554791,0,1
"228",0,0,1,0
"229",0,0,0,1
"230",1,0.965607470059144,0,0.717129243580914
"231",0,1,0,0
"232",1,0,0,0
"233",0.933150638655665,1,0,0
"234",0,0,1,0
"235",1,0,0,0
"236",0,0,1,0
"237",1,1,0,1
"238",0,0,0,1
"239",0,0,1,0
"240",1,1,1,1
"241",1,0.330788011845952,0,0
"242",0,0,1,0
"243",0.271583981225233,1,0,0
"244",1,1,1,1
"245",1,1,1,1
"246",1,0,0,0
"247",0,0,0,1
"248",1,1,1,1
"249",1,1,1,1
"250",0,0,1,0
"251",1,0.562443245112292,0,0
"252",0,0,1,0
"253",0,0,0,1
"254",0,1,0,0
"255",1,1,0,1
"256",0,0,0,1
"257",1,0.523089041364931,0,0
"258",0,1,0,0
"259",1,1,1,1
"260",1,1,1,1
"261",1,1,0,0.893218542809255
"262",0,0,1,0
"263",0,0,1,0
"264",0,1,0,0
"265",0.940648449596093,1,0,0
"266",1,0,0,0
"267",1,1,0,0.771868139512776
"268",1,1,0,0.690289823534844
"269",0,0,1,0
"270",1,0.996838140903544,0,0.965528555297111
"271",0.976109738085819,1,0,0
"272",1,1,1,1
"273",1,0,0,0
"274",1,0,0,0
"275",1,0,0,0
"276",1,0,0,0
"277",0.482063262497657,1,0,0
"278",1,0.755613806324761,0,0
"279",1,0.27097067948747,0,0
"280",0,1,0,0
"281",1,0.955512797155451,0,0
"282",1,0,0,0
"283",0,0,1,0
"284",0,1,0,0
"285",1,0,0,0
"286",0,0,1,0
"287",0,0,1,0
"288",0,0,0,1
"289",0,0,0,1
"290",1,1,1,1
"291",0,0,0,1
"292",0,0,0,1
"293",1,1,1,1
"294",0,1,0,0
"295",1,1,0.418040890526524,1
"296",1,1,0,1
"297",0,1,0,0
"298",0,0,0,1
"299",0,0,0,1
"300",1,0,0,0
"301",0,1,0,0
"302",0,1,0,0
"303",0.968059339835304,1,0,0
"304",1,1,0,0.865032124540815
"305",1,1,1,1
"306",0,1,0,0
"307",1,1,1,1
"308",1,0,0,0
"309",1,1,1,1
"310",0,0,0,1
"311",0,1,0,0
"312",1,1,0,1
"313",1,1,0,1
"314",1,1,0.473896042157063,1
"315",0,0,1,0
"316",1,0.73388788686915,0,0
"317",0,0,1,0
"318",0,0,1,0
"319",0,1,0,0
"320",0,0,1,0
"321",1,0,0,0
"322",0,0,1,0
"323",1,1,1,1
"324",0,1,0,0
"325",0,0,1,0
"326",0,0,1,0
"327",1,1,1,1
"328",1,1,0,1
"329",1,1,1,1
"330",1,0,0,0
"331",1,1,0,1
"332",1,0.966095143665196,0,0.684005239819813
"333",1,0,0,0
"334",0,1,0,0
"335",1,0.972210965707539,0,0
"336",1,1,0,0.598901306449831
"337",1,0.980390250640474,0,0
"338",1,1,1,1
"339",1,1,1,1
"340",1,1,1,1
"341",1,1,0,0.705644701661191
"342",1,1,1,1
"343",1,1,0.559602568397372,1
"344",0,0,1,0
"345",0.932912487713452,1,0,0.966634482069732
"346",0,0,1,0
"347",0,0,1,0
"348",1,1,0.490538726780359,1
"349",1,1,0,1
"350",0,0,1,0
"351",0.95609021781497,1,0,0
"352",1,1,1,1
"353",0.302763467342206,1,0,0
"354",1,0,0,0
"355",1,0,0,0
"356",0,1,0,0
"357",0,0,0,1
"358",1,0,0,0
"359",1,0.999894514449007,0.996349241945289,0.99978903322858
"360",1,1,1,1
"361",0,0,1,0
"362",1,0.9789679764086,0,0.450260326219966
"363",0,0,1,0
"364",0,0,0,1
"365",1,1,1,1
"366",1,0.990001599497764,0,0.993053496297169
"367",1,1,0,0.634186485089541
"368",0.670818211887267,1,0,0
"369",1,0.471656729894973,0,0
"370",0.998546448181155,0.990461092070493,0.75009425392307,1
"371",1,1,0,1
"372",0.497234648642525,1,0,0
"373",1,0,0,0
"374",1,1,0,1
"375",0,0,1,0
"376",0.465886380272706,1,0,0
"377",0.456576442826438,1,0,0
"378",1,1,0.858674709773202,1
"379",0.994200693832983,1,0,0
"380",1,0,0,0
"381",1,1,1,1
"382",0.653237481364167,1,0,0
"383",1,0,0,0
"384",1,1,1,1
"385",0,0,0,1
"386",1,0,0,0
"387",0,0,1,0
"388",0.989720339903055,1,0,0
"389",1,0,0,0
"390",0,0,1,0
"391",0,0,1,0
"392",0.979467398387565,0.980013177393752,0.603172028261521,1
"393",1,1,1,1
"394",1,1,1,1
"395",0,0,1,0
"396",1,1,1,1
"397",0,1,0,0
"398",1,1,0,1
"399",0,0,0,1
"400",1,1,1,1
"401",0.9232284106732,1,0,0
"402",1,1,0.379452107745489,1
"403",1,0,0,0
"404",0,1,0,0
"405",1,1,0,1
"406",0,0,1,0
"407",0,0,0,1
"408",0.309666878350538,1,0,0
"409",0.981162251954375,1,0,0
"410",1,0.855239810460159,0,0
"411",0,1,0,0
"412",0,0,0,1
"413",1,0.970792632216145,0,0.772093198145892
"414",0,0,1,0
"415",0.454338620693475,0.452795079826466,1,0.468479632137385
"416",1,1,1,1
"417",1,0,0,0
"418",1,0,0,0
"419",1,1,0,0.526596129187378
"420",1,1,0,0.651410632078467
"421",1,0,0,0
"422",1,0.423831411182198,0,0
"423",1,0,0,0
"424",0.953476809562419,1,0,0
"425",1,1,0,0.714615928958153
"426",0.977282359119426,0.937389313990849,0.322754900881868,1
"427",1,0,0,0
"428",0,0,1,0
"429",1,1,1,1
"430",0,0,1,0
"431",0,0,1,0
"432",1,0.982952990584883,0,0
"433",1,0.732038722982546,0,0
"434",1,1,1,1
"435",1,1,0.283380460746289,1
"436",1,0,0,0
"437",1,1,0,1
"438",1,1,0,1
"439",1,1,1,1
"440",0,0,0,1
"441",1,0,0,0
"442",1,1,1,1
"443",0,1,0,0
