"","Trajectory","trends","ci"
"Run4_120703409056541",0.123601513945964,0.123016392615966,0.101631432298466
"Run4_120703409580963",1.48038177079072,0.0641640957867285,0.266977502876443
"Run4_120703423990708",1.44846805047978,0.0612670075591043,0.234674030879158
"Run4_120703424252854",0.760959963906195,0.0675457743550303,0.087706832522098
"Run4_120703436876077",0.352758389605703,0.252110082786655,0.109486925757905
"Run4_120703455025387",0.643129464441557,0.159109840507924,0.0855234824292235
"Run4_120726911638237",0.703149407358724,0.104209464429323,0.0857180264507974
"Run4_120726912355038",0.850245590692146,0.0238832859111093,0.0977854240035201
"Run4_120726924974443",0.830560055524899,0.0296158857337342,0.0961595264090482
"Run4_120726924978030",0.635169114115837,0.166410851172596,0.08543724322641
"Run4_120726943295348",1.49940870587487,0.0659168903029692,0.287738673446052
"Run4_120726943845302",1.28226151584349,0.0475346336995225,0.124217782502089
"Run4_120772961130853",0.437858210480498,0.296697095902053,0.105404302342497
"Run4_120786758780660",0.531689371032188,0.289981574682049,0.102314150515536
"Run4_120786786086116",0.388760482186983,0.272465012024377,0.107130852791997
"Run4_120786804205803",0.703018260608022,0.10432559899712,0.0857111676218981
"Run4_120786804401973",0.650774179487052,0.153214647170971,0.0855255873813251
"Run4_120797898099934",0.852100618352933,0.023462275501889,0.09789188989966
"Run4_120797925428019",0.545084432782146,0.277814008787848,0.0989208610236878
"Run4_120797944462237",0.465462780001769,0.304535050157869,0.105992587958335
"Run4_120797945084765",0.330165192644722,0.240607971375563,0.109648067115864
"Run4_121202296875939",0.127568461192407,0.125519699380359,0.100285842246398
"Run4_121202311609131",1.37631878558441,0.0549783371000898,0.174090272384383
"Run4_121202323408629",1.13112931553499,0.0381642625883977,0.106696785825457
"Run4_121202323971293",1.35294017751584,0.0530376387259009,0.158463752037621
"Run4_121276814544302",0.564109543865072,0.256046251353902,0.0935926257861542
"Run4_121276814768869",0.422163619880144,0.290003329361172,0.105505382123825
"Run4_121319782803691",0.573103609704208,0.244524999444536,0.0912640561721347
"Run4_121338017995180",0.259002845843068,0.208106864148572,0.100820909702212
"Run4_121339869292318",1.29448561756563,0.0484432677520264,0.128719139514305
"Run4_121339869579045",0.0624682829353451,0.0853289655759297,0.138306220985225
"Run4_121339884197670",0.298062144437483,0.227345058160863,0.106484591099677
"Run4_121339897375467",0.538588849592093,0.284106307775121,0.100649297452162
"Run4_121339915976030",0.699480328841685,0.107554738313198,0.0855314317362064
"Run4_121742672218843",0.546824273848166,0.276015817539354,0.0984401820640412
"Run4_121742684731182",0.540435573932378,0.282388129939156,0.100170740915167
