"","t6"
"229","Run5_160996510849372"
"230","Run4_126834233760486"
"231","Run4_200922554125108"
"232","Run5_227284901579493"
"233","Run4_130185516701998"
"234","Run5_192788797775197"
"235","Run4_195623356938660"
"236","Run4_205518946913142"
"237","Run4_169082591504619"
"238","Run4_121826167679902"
"239","Run4_230800332319606"
"240","Run5_156463334083485"
"241","Run4_195426057373486"
"242","Run4_170344400481003"
"243","Run5_134522359994795"
"244","Run4_204765476280564"
"245","Run4_197256818116965"
"246","Run5_161462694656428"
"247","Run5_231754935187315"
"248","Run4_122310412626206"
"249","Run4_196180763692382"
"250","Run4_201474323102572"
"251","Run5_192678114773926"
"252","Run5_161451911834403"
"253","Run4_230654452066540"
"254","Run5_121965741819629"
"255","Run5_130126460415203"
"256","Run4_230800347552990"
"257","Run4_204911357867958"
"258","Run5_130134935452910"
"259","Run5_130761028922275"
"260","Run4_226953384118126"
"261","Run4_205449153427757"
"262","Run4_197188201921270"
"263","Run4_232327508055860"
"264","Run4_126364069287782"
"265","Run5_122308384443244"
"266","Run4_169156975679342"
"267","Run5_134540451559851"
"268","Run4_161548562520420"
"269","Run5_195547374668590"
"270","Run5_239946734102318"
"271","Run4_226883202889654"
"272","Run4_196019733805803"
"273","Run4_191691433565477"
"274","Run5_170344400144732"
"275","Run4_169723795725230"
"276","Run5_170198389938589"
"277","Run4_134376317636020"
"278","Run4_161883152600301"
"279","Run4_235602018186995"
"280","Run4_121339869292318"
"281","Run5_164698921229723"
"282","Run5_164769551537972"
"283","Run5_131097901034790"
"284","Run4_227357125373285"
"285","Run5_155888882216181"
"286","Run4_125728267127014"
"287","Run4_191708881966812"
"288","Run4_231754888531372"
"289","Run4_129565671745261"
"290","Run5_170798565738331"
"291","Run4_226394681559397"
"292","Run5_204213426281884"
"293","Run4_191080743165213"
"294","Run5_227903391590260"
"295","Run5_157690371397540"
"296","Run5_231270811920221"
"297","Run4_227981760293732"
"298","Run4_155972652713910"
"299","Run5_161864227941173"
"300","Run4_191774127220660"
"301","Run4_197206084074741"
"302","Run5_126765636409589"
"303","Run4_231366240131486"
"304","Run4_230807848217438"
"305","Run4_230799407495980"
"306","Run5_235129927788443"
"307","Run5_126681646774702"
"308","Run4_129457491929955"
"309","Run5_155972606769453"
"310","Run4_230816721848118"
"311","Run5_230800332614563"
"312","Run5_164753426300150"
"313","Run4_239946779966749"
"314","Run4_230807863158643"
"315","Run4_133829930108780"
"316","Run5_125247396146101"
"317","Run4_227982982953707"
"318","Run5_156933486766451"
"319","Run5_161411780700470"
"320","Run4_133829917330675"
"321","Run5_166469238901484"
"322","Run4_197135485528990"
"323","Run5_231279535446758"
"324","Run4_192255443823837"
"325","Run5_232311355723118"
"326","Run4_166288058936093"
"327","Run5_236288388847462"
"328","Run4_226283262204763"
"329","Run4_170343479589596"
"330","Run4_126886685359349"
"331","Run5_130194227747547"
"332","Run5_165946206932253"
"333","Run5_239946733402869"
"334","Run5_231366209234678"
"335","Run4_131234312121629"
"336","Run5_231917023616221"
"337","Run5_130057625524518"
"338","Run4_236176853548387"
"339","Run4_200562823051110"
"340","Run5_161340135790902"
"341","Run5_160990114006964"
"342","Run4_227425427830566"
"343","Run5_234992248143141"
"344","Run5_191647290613037"
"345","Run4_204765448235820"
"346","Run4_199962332948397"
"347","Run4_126364069050716"
"348","Run4_204762093151971"
"349","Run4_120726924974443"
"350","Run5_231754888833259"
"351","Run5_125677920500981"
"352","Run4_240136813497061"
"353","Run4_125239745961379"
"354","Run4_231822849662299"
"355","Run4_235697714714541"
"356","Run4_204224176012510"
"357","Run5_240482276765036"
"358","Run5_232327508014963"
"359","Run5_191226653095798"
"360","Run5_204427100874467"
"361","Run4_126776224472427"
"362","Run5_191760421767909"
"363","Run5_192315305609963"
"364","Run4_235559336237861"
"365","Run5_230749732256675"
"366","Run5_156453535890795"
"367","Run4_169027877072227"
"368","Run4_161960508222771"
"369","Run4_191026814932726"
"370","Run4_200441221986166"
"371","Run4_240136812879133"
"372","Run5_122436474812148"
"373","Run5_157684197636910"
"374","Run4_239468543600948"
"375","Run5_130185535118646"
"376","Run5_156453554732339"
"377","Run5_204756752226731"
"378","Run5_166290890808053"
"379","Run4_169158202517812"
"380","Run5_195546213669675"
"381","Run4_205449153374115"
"382","Run5_232302677715301"
