"","t3"
"229","Run4_235069844180403"
"230","Run4_205518946848037"
"231","Run5_235533386856758"
"232","Run4_231365435582830"
"233","Run4_200562850557221"
"234","Run5_169151714479028"
"235","Run5_201114457594284"
"236","Run4_235737680136565"
"237","Run5_236082096134507"
"238","Run5_162090668419443"
"239","Run4_170265230661556"
"240","Run5_240154816965557"
"241","Run4_227991438880165"
"242","Run5_226343095557469"
"243","Run4_226901456284982"
"244","Run4_230799438698285"
"245","Run5_230800332843941"
"246","Run4_122428793175326"
"247","Run4_235697683454683"
"248","Run4_169723765058803"
"249","Run4_201523599988517"
"250","Run4_235533401216822"
"251","Run4_232450553997084"
"252","Run5_165188399119198"
"253","Run5_129663530818475"
"254","Run5_200899038762718"
"255","Run4_160996556729131"
"256","Run4_156515934883044"
"257","Run5_197264020258084"
"258","Run5_129457538329822"
"259","Run4_200563808394102"
"260","Run5_130203903814877"
"261","Run4_205922688777436"
"262","Run4_161411807435486"
"263","Run4_235007401487669"
"264","Run4_196163864324443"
"265","Run4_231270765705572"
"266","Run4_126885773306787"
"267","Run5_235697714883939"
"268","Run4_230807849031981"
"269","Run5_129582985530795"
"270","Run4_130126433146612"
"271","Run5_231365434895276"
"272","Run4_192315324022046"
"273","Run5_169156963646246"
"274","Run4_130624783240604"
"275","Run5_126835145795894"
"276","Run5_125719958646046"
"277","Run4_165325596182942"
"278","Run5_126885746101085"
"279","Run4_232302658309363"
"280","Run4_125719945333155"
"281","Run5_164698907065182"
"282","Run5_170877934820582"
"283","Run5_226970295253419"
"284","Run4_200348208917275"
"285","Run5_231890226167198"
"286","Run4_134530788379573"
"287","Run4_122436428609325"
"288","Run5_199934595685094"
"289","Run4_195958663931622"
"290","Run4_157537720220574"
"291","Run4_156463334570933"
"292","Run4_227425473416605"
"293","Run4_169795603028779"
"294","Run5_125728298559323"
"295","Run5_122514692492718"
"296","Run4_165232437250292"
"297","Run4_191080789887787"
"298","Run5_200974066211548"
"299","Run4_235550862170852"
"300","Run4_195958632569060"
"301","Run4_130184147257766"
"302","Run4_165327851415854"
"303","Run4_125745298098036"
"304","Run5_240634645855022"
"305","Run5_191080743004525"
"306","Run4_164769519786931"
"307","Run5_170745967101789"
"308","Run4_165858428012773"
"309","Run5_195562300915123"
"310","Run5_191215678142885"
"311","Run5_227846602832750"
"312","Run5_135699959040357"
"313","Run5_204358278630236"
"314","Run4_131242065837411"
"315","Run4_129663543921453"
"316","Run4_232301303850925"
"317","Run4_230741425437933"
"318","Run4_126776224102750"
"319","Run4_204959675997547"
"320","Run4_134539692881651"
