,cell_names,Size_Factor,Pseudotime,State
Run5_226883188407094,Run5_226883188407094,0.978755919608779,12.7906581508708,1
Run5_226883202603756,Run5_226883202603756,2.06761764533485,17.2782737773918,2
Run5_226901441268660,Run5_226901441268660,0.832738681342464,5.95976410260015,5
Run5_226901441604019,Run5_226901441604019,0.278482992702809,0,7
Run5_226901442054566,Run5_226901442054566,1.79828190421717,9.10105611930274,5
Run5_226901456443108,Run5_226901456443108,0.571533830522676,1.5492753096399,7
Run5_226901456471782,Run5_226901456471782,0.988241958289653,6.70443128764999,5
Run5_226901456538459,Run5_226901456538459,2.80515715277282,17.6135797052324,1
Run5_226901468793701,Run5_226901468793701,0.447198966384074,0.851954046052194,7
Run5_226901468854118,Run5_226901468854118,1.38868830546085,8.53063299915798,5
Run5_226949759723830,Run5_226949759723830,3.27573242876334,17.7140882368033,2
Run5_226949787445539,Run5_226949787445539,1.52792980181225,8.75239317543243,5
Run5_226949787465460,Run5_226949787465460,0.519360617777867,9.12361523923657,5
Run5_226949787674870,Run5_226949787674870,2.22481485776077,18.0167152271924,2
Run5_226949805762278,Run5_226949805762278,1.00484252598118,12.9645212794345,1
Run5_226949806544613,Run5_226949806544613,1.61296536284437,17.6966323289366,1
Run5_226953384323893,Run5_226953384323893,2.88815999123047,17.8482604326619,2
Run5_226953398241501,Run5_226953398241501,2.27326141245237,17.4692372646276,2
Run5_226953398269812,Run5_226953398269812,2.62797150169792,17.748747374774,2
Run5_226953398700339,Run5_226953398700339,1.37683075710975,16.313799059385,1
Run5_226953410865460,Run5_226953410865460,0.812411455597734,15.3677349837897,1
Run5_226953411389291,Run5_226953411389291,0.392654243969046,0.862837371248625,7
Run5_226953411545835,Run5_226953411545835,1.08953929991756,17.978807569809,1
Run5_226953429968741,Run5_226953429968741,1.3771695442055,17.1037851962877,2
Run5_226958752799068,Run5_226958752799068,0.740588591299685,2.54336595189089,7
Run5_226958767155629,Run5_226958767155629,0.892026423097928,17.4968708500132,1
Run5_226958798449580,Run5_226958798449580,0.739572230012449,2.96940850844753,7
Run5_226970295253419,Run5_226970295253419,1.32736784113091,17.3830849157542,2
Run5_226970309933475,Run5_226970309933475,0.604057391714245,0.889858037225817,7
Run5_226970322222389,Run5_226970322222389,3.69108540814733,17.2963977468778,2
Run5_226970322234100,Run5_226970322234100,0.505470346852301,0.7201057624025,7
Run5_226970322234667,Run5_226970322234667,1.47507901487595,8.56548209934402,5
Run5_226970322292126,Run5_226970322292126,1.26638616389672,17.5566634348549,1
Run5_226970322757427,Run5_226970322757427,0.63082157227814,8.56631799895436,5
Run5_226970322976037,Run5_226970322976037,0.760238242852925,11.6413508121042,4
Run5_226970323044773,Run5_226970323044773,0.759899455757179,5.56863892113351,5
Run5_226970323077852,Run5_226970323077852,1.48863049870577,16.5553297611328,2
Run5_226970341689189,Run5_226970341689189,0.251041237947423,0.231227140100929,7
